지역별,시점,건축착공면적[㎡],건축허가면적증감률[%],고용률(시도)[%],실업률(시도),소비자물가지수[2015=100],아파트매매가격지수,아파트전세가격지수[2017.11 = 100.0],주민등록인구[명],주택매매가격지수,주택전세가격지수[2017.11 = 100.0],지가변동률[%],부동산 시장 소비심리지수,토지거래필지수,기준금리,국고채,회사채,가계대출,주택담보대출,아파트매매거래량,PIR,LIR,Class,"강력범죄율(강력범죄수/인구수 *100, 단위 %)",연구시설,사회복지시설,공공직업훈련시설,청소년수련시설,학교,공공청사,문화시설,체육시설,사회복지시설,광장,공원,녹지,유원지,공공공지,교통문화지수,종합의료시설,"인구십만명당 문화기반시설수(A÷B×100,000) (개)",중대형 상가,소규모 상가,집합 상가,Class
강원도,2016,523875.1667,40.60833333,58.2,2.858333333,100.7858333,96.58608712,96.32461837,1548970.583,96.9835395,97.49974284,0.2405,127.75,11915.83333,1.354166667,1.440583333,1.885166667,15836.79167,6165.616667,2111.25,4.215833333,2.056666667,0,0.054616761,28,20,1,11,705,174,54,93,20,245,972,694,32,117,81.99,10,13.6,102,79,731,0
강원도,2017,435904.9167,14.08333333,61,2.641666667,102.8016667,99.01309406,98.85131844,1548179.583,98.85723603,99.16356465,0.312833333,116.6666667,12465.08333,1.291666667,1.80325,2.327,17682.9,6925.333333,1513.666667,4.526666667,2.351666667,0,0.056252911,28,21,1,11,703,185,59,102,21,254,937,678,31,117,81.12,10,14.1,112,135,663,0
강원도,2018,427239,25.48333333,60.68333333,2.933333333,104.4383333,98.03646738,98.00860626,1544819.167,99.44771689,98.81852325,0.293416667,93.25833333,12203.08333,1.541666667,2.099916667,2.649583333,19575.76667,7836.325,1177.75,4.355833333,2.459166667,0,0.060723812,28,21,1,12,699,185,63,119,21,257,920,676,31,129,74.21,10,13.9,118,142,663,0
강원도,2019,336161.8333,-22.96666667,62.25,3.641666667,105.315,91.62677951,92.11544722,1540922,96.84125632,95.22529356,0.2185,84.06666667,10814.41667,1.5625,1.53175,2.02475,20914.725,8576.425,1242.25,4.21,2.390833333,0,0.061174102,29,23,1,11,701,212,64,120,23,259,907,683,31,132,77.31,10,15.1,142,180,663,0
강원도,2020,336310.9167,-2.433333333,60.775,3.966666667,105.9675,89.20408268,90.59516702,1540273,96.11520227,94.24504053,0.177916667,112.075,12028.75,0.666666667,0.98975,2.127583333,21767.98333,8846.283333,2188.833333,4.346666667,2.514166667,0,0.056000622,29,23,1,11,701,212,63,122,23,254,851,668,30,127,78.4,10,15.2,196,206,663,0
충청북도,2015,594288.25,56.18333333,62.375,2.616666667,99.99916667,102.913861,94.52324129,1581034.917,100.797175,96.52566149,0.157083333,113.175,8921.5,1.645833333,1.798,2.087416667,16971.75833,8079.608333,1565.166667,4.556666667,2.040833333,0,0.054168308,6,31,4,1,528,224,19,71,31,338,1021,1150,9,96,80.1,10,8,72,94,999,0
충청북도,2016,500834.8333,16.225,61.975,2.616666667,100.5666667,102.5916421,97.40414007,1587191.583,100.6006754,98.2552536,0.158583333,106.9833333,9279.5,1.354166667,1.440583333,1.885166667,18985.90833,8808.541667,1537.75,4.4125,2.148333333,0,0.056106181,7,30,4,1,531,225,29,72,30,341,1039,1193,8,95,83.78,10,7.9,72,94,999,0
충청북도,2017,506348.5,4.508333333,62.575,2.241666667,102.5758333,100.89461,99.32145053,1592853.083,100.0459254,99.51968625,0.253166667,104.8,9729,1.291666667,1.80325,2.327,20609.21667,9257.025,1443.583333,4.523333333,2.398333333,0,0.061213021,7,30,4,1,534,229,31,78,30,349,1047,1201,8,95,80.03,10,8,91,107,967,0
충청북도,2018,504286.5833,29.55,63.28333333,2.45,104.2575,96.77503916,98.27741198,1596149.917,98.69598509,99.08693125,0.259333333,92.925,9356.5,1.541666667,2.099916667,2.649583333,22045.64167,9718.016667,1256.75,4.665833333,2.688333333,0,0.058527362,7,30,4,1,532,228,32,97,30,355,1057,1268,7,95,75.21,10,8.1,95,144,967,0
충청북도,2019,408181.5,-26.025,62.875,3.05,104.6408333,90.14015092,91.79566081,1599421.333,95.54294406,95.14640209,0.18325,92.025,8446.583333,1.5625,1.53175,2.02475,22861.33333,9874,1490.083333,4.259166667,2.425833333,0,0.05937474,8,34,4,2,528,231,36,99,34,358,1084,1325,7,95,78.02,10,8.5,106,125,967,0
